CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-26-29,,,,GS02HYPM-RIM01-00-SIOENG000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,OL000027,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-RIM01-02-CTDMOG039,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,A00938,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP02-00-WFPENG000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,A01110,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP02-01-FLORDL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00656,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP02-03-DOSTAL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00657,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP02-04-CTDPFL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00658,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP02-05-VEL3DL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00659,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP03-00-WFPENG000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,A01083,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP03-01-FLORDL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00660,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP03-03-DOSTAL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00661,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP03-04-CTDPFL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00662,-54.46834,-89.36843,,4650
AT-26-29,,,,GS02HYPM-WFP03-05-VEL3DL000,1,1,2015-02-19T23:00:00,2015-12-25T00:00:00,N00257,,N00663,-54.46834,-89.36843,,4650
