CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-29,,NBP-15-11,,GS02HYPM-RIM01-00-SIOENG000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,OL000027,-54.46834,-89.36843,,4413,4650,
AT-26-29,,NBP-15-11,,GS02HYPM-RIM01-02-CTDMOG039,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,CGINS-CTDMOG-12402,-54.46834,-89.36843,,163,4650,
AT-26-29,,NBP-15-11,,GS02HYPM-WFP02-00-WFPENG000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGCON-GWFPGX-10405,-54.46834,-89.36843,,2152,4650,shallow depth = 168
AT-26-29,,NBP-15-11,,GS02HYPM-WFP02-01-FLORDL000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-FLORDL-03281,-54.46834,-89.36843,,2152,4650,shallow depth = 168
AT-26-29,,NBP-15-11,,GS02HYPM-WFP02-03-DOSTAL000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-DOSTAL-01477,-54.46834,-89.36843,,2152,4650,shallow depth = 168
AT-26-29,,NBP-15-11,,GS02HYPM-WFP02-04-CTDPFL000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-CTDPFL-00133,-54.46834,-89.36843,,2152,4650,shallow depth = 168
AT-26-29,,NBP-15-11,,GS02HYPM-WFP02-05-VEL3DL000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-VEL3DL-01116,-54.46834,-89.36843,,2152,4650,shallow depth = 168
AT-26-29,,NBP-15-11,,GS02HYPM-WFP03-00-WFPENG000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10407,CGCON-GWFPGX-10407,-54.46834,-89.36843,,4402,4650,shallow depth = 2196
AT-26-29,,NBP-15-11,,GS02HYPM-WFP03-01-FLORDL000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10407,CGINS-FLORDL-03282,-54.46834,-89.36843,,4402,4650,shallow depth = 2196
AT-26-29,,NBP-15-11,,GS02HYPM-WFP03-03-DOSTAL000,1,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10407,CGINS-DOSTAL-01479,-54.46834,-89.36843,,4402,4650,shallow depth = 2196
