CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
NBP-15-11,,,,GS03FLMA-RIM01-00-SIOENG000,2,1,2015-12-17T19:42:00,,OL000033,,OL000035,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-ADCPSL003,2,1,2015-12-17T19:42:00,,OL000033,,A00568,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG040,2,1,2015-12-17T19:42:00,,OL000033,,A01590,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG041,2,1,2015-12-17T19:42:00,,OL000033,,A01598,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG042,2,1,2015-12-17T19:42:00,,OL000033,,A01390,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG043,2,1,2015-12-17T19:42:00,,OL000033,,A01591,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG044,2,1,2015-12-17T19:42:00,,OL000033,,A01596,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG045,2,1,2015-12-17T19:42:00,,OL000033,,A01589,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG046,2,1,2015-12-17T19:42:00,,OL000033,,A01600,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG047,2,1,2015-12-17T19:42:00,,OL000033,,A01601,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG048,2,1,2015-12-17T19:42:00,,OL000033,,A01588,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOH049,2,1,2015-12-17T19:42:00,,OL000033,,A01604,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOH050,2,1,2015-12-17T19:42:00,,OL000033,,A01607,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOH051,2,1,2015-12-17T19:42:00,,OL000033,,A01605,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIS01-00-SIOENG000,2,1,2015-12-17T19:42:00,,OL000033,,OL000034,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIS01-03-DOSTAD000,2,1,2015-12-17T19:42:00,,OL000033,,OL000036,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIS01-04-PHSENF000,2,1,2015-12-17T19:42:00,,OL000033,,A01715,-54.12563,-89.55293,,4705
NBP-15-11,,,,GS03FLMA-RIS01-05-FLORTD000,2,1,2015-12-17T19:42:00,,OL000033,,A01651,-54.12563,-89.55293,,4705
