CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-29,,,,GS03FLMA-RIM01-00-SIOENG000,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,OL000247,-54.10517,-89.65361,,1505.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-ADCPSL003,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-ADCPSL-18352,-54.10517,-89.65361,,500.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG040,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12588,-54.10517,-89.65361,,27.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG041,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12330,-54.10517,-89.65361,,40.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG042,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12376,-54.10517,-89.65361,,60.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG043,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12371,-54.10517,-89.65361,,90.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG044,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12374,-54.10517,-89.65361,,130.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG045,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12336,-54.10517,-89.65361,,180.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG046,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12372,-54.10517,-89.65361,,250.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG047,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12333,-54.10517,-89.65361,,350.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOG048,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOG-12370,-54.10517,-89.65361,,500.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOH049,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOH-12385,-54.10517,-89.65361,,747.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOH050,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOH-12391,-54.10517,-89.65361,,998.0,4632.0,
AT-26-29,,,,GS03FLMA-RIM01-02-CTDMOH051,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-CTDMOH-12390,-54.10517,-89.65361,,1500.0,4632.0,
AT-26-29,,,,GS03FLMA-RIS01-00-SIOENG000,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,OL000248,-54.10517,-89.65361,,27.0,4632.0,
AT-26-29,,,,GS03FLMA-RIS01-03-DOSTAD000,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,A00901,-54.10517,-89.65361,,27.0,4632.0,
AT-26-29,,,,GS03FLMA-RIS01-04-PHSENF000,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,CGINS-PHSENF-P0147,-54.10517,-89.65361,,27.0,4632.0,
AT-26-29,,,,GS03FLMA-RIS01-05-FLORTD000,1,1,2015-02-25T23:55:00,2015-12-18T00:00:00,CGMGS-03FLMA-00001,,A01497,-54.10517,-89.65361,,27.0,4632.0,
NBP-15-11,,,,GS03FLMA-RIM01-00-SIOENG000,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,OL000035,-54.12563,-89.55293,,1510.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-ADCPSL003,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A00568,-54.12563,-89.55293,,500.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG040,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01590,-54.12563,-89.55293,,30.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG041,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01598,-54.12563,-89.55293,,40.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG042,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01390,-54.12563,-89.55293,,60.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG043,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01591,-54.12563,-89.55293,,90.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG044,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01596,-54.12563,-89.55293,,130.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG045,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01589,-54.12563,-89.55293,,180.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG046,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01600,-54.12563,-89.55293,,250.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG047,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01601,-54.12563,-89.55293,,350.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOG048,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01588,-54.12563,-89.55293,,500.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOH049,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01604,-54.12563,-89.55293,,750.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOH050,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01607,-54.12563,-89.55293,,1000.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIM01-02-CTDMOH051,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01605,-54.12563,-89.55293,,1500.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIS01-00-SIOENG000,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,OL000034,-54.12563,-89.55293,,30.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIS01-03-DOSTAD000,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,OL000036,-54.12563,-89.55293,,30.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIS01-04-PHSENF000,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01715,-54.12563,-89.55293,,30.0,4705.0,deployment_depth placeholder: design depth
NBP-15-11,,,,GS03FLMA-RIS01-05-FLORTD000,2,1,2015-12-17T19:42:00,,CGMGS-03FLMA-00002,,A01651,-54.12563,-89.55293,,30.0,4705.0,deployment_depth placeholder: design depth
NBP16-10,,,,GS03FLMA-RIM01-00-SIOENG000,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,OL000035,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-ADCPSL003,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-ADCPSL-18446,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG040,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12375,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG041,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12330,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG042,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12370,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG043,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12332,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG044,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12372,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG045,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12336,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG046,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12374,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG047,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12314,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOG048,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOG-12331,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOH049,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOH-12392,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOH050,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOH-12393,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIM01-02-CTDMOH051,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-CTDMOH-12391,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIS01-00-SIOENG000,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,OL000034,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIS01-03-DOSTAD000,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-DOSTAD-00131,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIS01-04-PHSENF000,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-PHSENF-P0144,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
NBP16-10,,,,GS03FLMA-RIS01-05-FLORTD000,3,1,2016-12-01T00:00:00,2017-12-01T00:00:00,CGMGS-03FLMA-00003,,CGINS-FLORTD-01003,-54.0,-89.0,,,,check times when Quick Look report is released. placeholder lat/lon
