CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-26-29,,,,GS05MOAS-GL486-00-ENG000000,1,1,2015-02-21T16:35:00,2015-12-20T00:00:00,N00282,A01189,OL000135,-54.4082,-89.35758,,
AT-26-29,,,,GS05MOAS-GL486-01-FLORDM000,1,1,2015-02-21T16:35:00,2015-12-20T00:00:00,N00282,A01189,N00664,-54.4082,-89.35758,,
AT-26-29,,,,GS05MOAS-GL486-02-DOSTAM000,1,1,2015-02-21T16:35:00,2015-12-20T00:00:00,N00282,A01189,N00665,-54.4082,-89.35758,,
AT-26-29,,,,GS05MOAS-GL486-04-CTDGVM000,1,1,2015-02-21T16:35:00,2015-12-20T00:00:00,N00282,A01189,N00666,-54.4082,-89.35758,,
NBP-15-11,,,,GS05MOAS-GL524-00-ENG000000,1,1,2015-12-20T19:50:00,2016-04-11T00:00:00,N00282,A01297,OL000136,-54.12563,-89.77859,,
NBP-15-11,,,,GS05MOAS-GL524-01-FLORDM000,1,1,2015-12-20T19:50:00,2016-04-11T00:00:00,N00282,A01297,OL000141,-54.12563,-89.77859,,
NBP-15-11,,,,GS05MOAS-GL524-02-DOSTAM000,1,1,2015-12-20T19:50:00,2016-04-11T00:00:00,N00282,A01297,OL000142,-54.12563,-89.77859,,
NBP-15-11,,,,GS05MOAS-GL524-04-CTDGVM000,1,1,2015-12-20T19:50:00,2016-04-11T00:00:00,N00282,A01297,OL000143,-54.12563,-89.77859,,
NBP-15-11,,,,GS05MOAS-GL560-00-ENG000000,1,1,2015-12-20T19:20:00,,N00282,A01763,OL000137,-54.12483,-89.77665,,
NBP-15-11,,,,GS05MOAS-GL560-01-FLORDM000,1,1,2015-12-20T19:20:00,,N00282,A01763,OL000144,-54.12483,-89.77665,,
NBP-15-11,,,,GS05MOAS-GL560-02-DOSTAM000,1,1,2015-12-20T19:20:00,,N00282,A01763,OL000145,-54.12483,-89.77665,,
NBP-15-11,,,,GS05MOAS-GL560-04-CTDGVM000,1,1,2015-12-20T19:20:00,,N00282,A01763,OL000146,-54.12483,-89.77665,,
NBP-15-11,,,,GS05MOAS-GL561-00-ENG000000,1,1,2015-12-25T21:41:00,,N00282,OL000147,OL000138,-54.2259,-89.75595,,
NBP-15-11,,,,GS05MOAS-GL561-01-FLORDM000,1,1,2015-12-25T21:41:00,,N00282,OL000147,OL000148,-54.2259,-89.75595,,
NBP-15-11,,,,GS05MOAS-GL561-02-DOSTAM000,1,1,2015-12-25T21:41:00,,N00282,OL000147,OL000149,-54.2259,-89.75595,,
NBP-15-11,,,,GS05MOAS-GL561-04-CTDGVM000,1,1,2015-12-25T21:41:00,,N00282,OL000147,OL000150,-54.2259,-89.75595,,
NBP-15-11,,,,GS05MOAS-PG565-00-ENG000000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000139,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG565-01-CTDGVM000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000168,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG565-02-DOSTAM000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000169,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG565-03-NUTNRM000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000170,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG565-04-PARADM000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000171,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG565-05-FLORTM000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000172,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG565-06-FLORTO000,1,1,2015-12-20T17:46:00,,N00282,OL000151,OL000173,-54.12519,-89.76248,,
NBP-15-11,,,,GS05MOAS-PG566-00-ENG000000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000140,-54.12559,-89.75086,,
NBP-15-11,,,,GS05MOAS-PG566-01-CTDGVM000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000174,-54.12559,-89.75086,,
NBP-15-11,,,,GS05MOAS-PG566-02-DOSTAM000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000175,-54.12559,-89.75086,,
NBP-15-11,,,,GS05MOAS-PG566-03-NUTNRM000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000176,-54.12559,-89.75086,,
NBP-15-11,,,,GS05MOAS-PG566-04-PARADM000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000177,-54.12559,-89.75086,,
NBP-15-11,,,,GS05MOAS-PG566-05-FLORTM000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000178,-54.12559,-89.75086,,
NBP-15-11,,,,GS05MOAS-PG566-06-FLORTO000,1,1,2015-12-20T17:16:00,,N00282,OL000152,OL000179,-54.12559,-89.75086,,
