CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
TN-313,,,,RS01SBPS-PC01A-05-ADCPTD102,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58315-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-06-VADCPA101,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58345-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-07-CAMDSC102,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58317-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-08-HYDBBA103,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58324-00005,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-4A-CTDPFA103,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-66662-00001,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-4A-DOSTAD103,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58320-00005,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-4B-PHSENA102,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58337-00005,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-PC01A-4C-FLORDD103,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-69839-001-0101,,ATAPL-58322-00005,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-2A-CTDPFA102,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-66662-00002,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-2A-DOFSTA102,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-58694-00001,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-2D-PHSENA101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-58337-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-3A-FLORTD101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-58322-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-3B-OPTAAD101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-58332-00001,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-3C-PARADA101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-66645-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-3D-SPKIRA101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-58341-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-4A-NUTNRA101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-68020-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-4B-VELPTD102,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-70114-00003,44.52897,-125.38937,,
TN-313,,,,RS01SBPS-SF01A-4F-PCO2WA101,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-68870-001-0140,,ATAPL-58336-00003,44.52897,-125.38937,,
