CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth,notes
TN-326,,,,RS01SBPS-PC01A-05-ADCPTD102,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58315-00004,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-06-VADCPA101,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58345-00004,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-07-CAMDSC102,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58317-00001,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-08-HYDBBA103,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58324-00008,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-4A-CTDPFA103,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-66662-00009,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-4A-DOSTAD103,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58320-00011,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-4B-PHSENA102,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58337-00010,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-PC01A-4C-FLORDD103,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-69839-001-0104,,ATAPL-58322-00011,44.52897,-125.38966,,195,
TN-326,,,,RS01SBPS-SF01A-2A-CTDPFA102,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-66662-00008,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-2A-DOFSTA102,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-58694-00005,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-2D-PHSENA101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-58337-00006,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-3A-FLORTD101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-58322-00009,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-3B-OPTAAD101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-58332-00005,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-3C-PARADA101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-66645-00006,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-3D-SPKIRA101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-58341-00006,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-4A-NUTNRA101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-68020-00006,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-4B-VELPTD102,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-70114-00006,44.52897,-125.38966,,,
TN-326,,,,RS01SBPS-SF01A-4F-PCO2WA101,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-68870-001-0143,,ATAPL-58336-00004,44.52897,-125.38966,,,
