CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS01SUM1-LJ01B-05-HYDLFA104,1,1,2014-09-07T11:25:04,,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-58693-00004,44.56915995,-125.14791208,,774,774,deployed to seafloor in 2013; moved to final position in 2014,,
TN313,,,,RS01SUM1-LJ01B-05-OBSBBA101,1,1,2014-09-07T11:25:04,,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-58328-00004,44.56915733,-125.14790004,,775,775,deployed to seafloor in 2013; moved to final position in 2014,,
TN313,,,,RS01SUM1-LJ01B-06-OBSSPA103,1,1,2014-09-01T19:33:00,2019-06-25T00:35:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-58331-00009,44.56739,-125.14418,,789,789,,,
TN313,,,,RS01SUM1-LJ01B-07-OBSSPA102,1,1,2014-09-01T15:17:00,,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-58331-00004,44.57319,-125.14392,,788,788,,,
TN313,,,,RS01SUM1-LJ01B-08-OBSSPA101,1,1,2014-09-01T12:03:00,,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-58331-00003,44.57303,-125.1525,,818,818,,,
TN313,,,,RS01SUM1-LJ01B-09-PRESTB102,1,1,2014-09-07T10:22:00,2016-07-23T00:00:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-69923-00001,44.56927,-125.14804,,775,775,,,
TN313,,,,RS01SUM1-LJ01B-12-VEL3DB104,1,1,2014-09-09T00:27:00,2016-07-23T00:00:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-67979-00001,44.56911,-125.14797,,775,775,,,
SKQ201610S,,,,RS01SUM1-LJ01B-09-PRESTB102,2,1,2016-07-24T04:21:00,2017-08-11T00:30:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,ATAPL-69923-00002,44.56927,-125.14804,,775,775,,,
SKQ201610S,,,,RS01SUM1-LJ01B-12-VEL3DB104,2,1,2016-07-24T04:21:00,2017-08-11T00:30:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,ATAPL-67979-00006,44.56911,-125.14797,,775,775,,,
RR1714,,,,RS01SUM1-LJ01B-09-PRESTB102,3,1,2017-08-11T23:00:00,,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,ATAPL-69923-00002,44.56927,-125.14804,,775,775,,,
RR1714,,,,RS01SUM1-LJ01B-12-VEL3DB104,3,1,2017-08-11T23:00:00,2018-06-26T03:30:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,ATAPL-67979-00004,44.56911,-125.14797,,775,775,,,
RR1809,,,,RS01SUM1-LJ01B-12-VEL3DB104,4,1,2018-06-26T17:30:00,,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,ATAPL-67979-00002,44.56911,-125.14797,,775,775,,,
AT42-12,,,,RS01SUM1-LJ01B-06-OBSSPA103,2,1,2019-06-25T22:14:00,,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,ATAPL-58331-00011,44.56739,-125.14418,,789,789,,,
AT42-12,,,,RS01SUM1-LJ01B-12-VEL3DB104,5,1,2019-06-25T13:52:10,,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,ATAPL-67979-00002,44.56914363,-125.14798900,,778,778,previously deployed sensor repositioned in 2019,,
