CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-313,,,,RS03ASHS-MJ03B-00-OSMOIA301,1,1,2014-09-28T04:02:00,2015-07-08T00:00:00,ATAPL-65244-820-0033,,ATAPL-58333-00003,45.93363,-130.01368,,1541,1541,
TN-299,,,,RS03ASHS-MJ03B-05-OBSSPA302,1,1,2013-08-11T13:52:00,,ATAPL-65244-820-0033,,ATAPL-58331-00008,45.93373,-130.0141,,1545,1545,
TN-299,,,,RS03ASHS-MJ03B-06-OBSSPA301,1,1,2013-08-15T15:38:00,,ATAPL-65244-820-0033,,ATAPL-58331-00010,45.93356,-129.99924,,1541,1541,
TN-313,,,,RS03ASHS-MJ03B-07-TMPSFA301,1,1,2014-09-28T02:21:00,2017-08-13T23:30:00,ATAPL-65244-820-0033,,ATAPL-69971-00002,45.93362,-130.01368,,1540,1540,
TN-299,,,,RS03ASHS-PN03B-06-CAMHDA301,1,1,2013-08-01T00:00:00,2015-07-08T00:00:00,ATSOO-70232-01H3B,,ATAPL-70168-00001,45.93362,-130.01364,,1542,1542,
TN-326,,,,RS03ASHS-MJ03B-00-OSMOIA301,2,1,2015-07-09T12:32:00,,ATAPL-65244-820-0033,,ATAPL-58333-00004,45.93367,-130.01369,,1541,1541,
TN-326,,,,RS03ASHS-PN03B-06-CAMHDA301,2,1,2015-07-09T13:28:24,2016-07-26T21:18:00,ATSOO-70232-01H3B,,ATAPL-70168-00002,45.93364,-130.01364,,1542,1542,
SKQ201610S,,,,RS03ASHS-PN03B-06-CAMHDA301,3,1,2016-07-27T05:49:19,2017-08-13T23:30:00,ATSOO-70232-01H3B,,ATAPL-70168-00001,45.93364,-130.01364,,1542,1542,
RR1714,,,,RS03ASHS-MJ03B-07-TMPSFA301,3,1,2017-08-15T00:00:00,,ATAPL-65244-050-0027,,ATAPL-69971-00002,45.93362,-130.01368,,1540,1540,
RR1714,,,,RS03ASHS-MJ03B-09-BOTPTA304,3,1,2017-08-15T00:00:00,,ATAPL-65244-050-0027,,ATAPL-58316-00005,45.93363,-130.01368,,1542,1542,
RR1714,,,,RS03ASHS-MJ03B-10-CTDPFB304,3,1,2017-08-15T00:00:00,2018-07-04T00:00:00,ATAPL-65244-050-0027,,ATCWK-67627-00006,45.93363,-130.01368,,1542,1542,
RR1714,,,,RS03ASHS-PN03B-06-CAMHDA301,4,1,2017-08-14T07:00:00,2018-07-04T00:00:00,ATSOO-70232-01H3B,,ATAPL-70168-00002,45.93362,-130.01364,,1542,1542,
RR1810,,,,RS03ASHS-MJ03B,1,1,2018-07-04T00:00:00,,ATAPL-65244-820-0033,,ATAPL-65244-820-0033,45.82972,-129.75904,,,2901,
RR1810,,,,RS03ASHS-MJ03B-10-CTDPFB304,4,1,2018-07-04T00:00:00,,ATAPL-65244-050-0027,,ATCWK-67627-00007,45.93363,-130.01368,,1542,1542,
RR1810,,,,RS03ASHS-PN03B-06-CAMHDA301,5,1,2018-07-04T00:00:00,,ATSOO-70232-01H3B,,ATS00-70168-00002,45.93362,-130.01364,,1542,1542,
