CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
TN-313,,,,RS03AXBS-LJ03A-05-HPIESA301,1,1,2014-08-07T19:59:00,2015-06-13T00:00:00,ATAPL-65310-050-0007,,ATAPL-58323-00001,45.82395,-129.75978,,2610
TN-313,,,,RS03AXBS-LJ03A-09-HYDBBA302,1,1,2014-08-05T06:18:00,2015-06-13T00:00:00,ATAPL-65310-050-0007,,ATAPL-58324-00003,45.81679,-129.75412,,2610
TN-313,,,,RS03AXBS-LJ03A-10-ADCPTE303,1,1,2014-08-05T06:18:00,2015-06-13T00:00:00,ATAPL-65310-050-0007,,ATAPL-68073-00003,45.81679,-129.75412,,2610
TN-313,,,,RS03AXBS-LJ03A-11-OPTAAC303,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,ATAPL-65310-050-0007,,ATAPL-69943-00003,45.81684,-129.75411,,2607
TN-313,,,,RS03AXBS-LJ03A-12-CTDPFB301,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,ATAPL-65310-050-0007,,ATAPL-67627-00003,45.81684,-129.75411,,2607
TN-313,,,,RS03AXBS-LJ03A-12-DOSTAD301,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,ATAPL-65310-050-0007,,ATAPL-58320-00003,45.81684,-129.75411,,2607
TN-313,,,,RS03AXBS-MJ03A-05-HYDLFA301,1,1,2014-08-08T11:14:00,,ATAPL-65244-040-0026,,ATAPL-58693-00001,45.82018,-129.73671,,2607
TN-313,,,,RS03AXBS-MJ03A-05-OBSBBA303,1,1,2014-08-08T11:14:00,,ATAPL-65244-040-0026,,ATAPL-58328-00001,45.82018,-129.73671,,2607
TN-313,,,,RS03AXBS-MJ03A-06-PRESTA301,1,1,2014-08-08T16:39:00,2016-07-12T00:00:00,ATAPL-65244-040-0026,,ATAPL-67639-00003,45.82023,-129.73637,,2606
TN-313,,,,RS03AXBS-MJ03A-12-VEL3DB301,1,1,2014-08-08T17:11:00,2016-07-12T00:00:00,ATAPL-65244-040-0026,,ATAPL-67979-00005,45.8202,-129.73636,,2608
