CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS03AXBS-LJ03A-05-HPIESA301,1,1,2014-08-07T19:59:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58323-00001,45.82395368,-129.7597956,,2609,2609,,,
TN313,,,,RS03AXBS-LJ03A-09-HYDBBA302,1,1,2014-08-05T06:18:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58324-00003,45.81680181,-129.754157,,2609,2609,,,
TN313,,,,RS03AXBS-LJ03A-10-ADCPTE303,1,1,2014-08-05T06:18:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-68073-00003,45.81680181,-129.754157,,2609,2609,,,
TN313,,,,RS03AXBS-LJ03A-11-OPTAAC303,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-69943-00003,45.81684669,-129.7541572,,2606,2606,,,
TN313,,,,RS03AXBS-LJ03A-12-CTDPFB301,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-67627-00003,45.81684669,-129.7541572,,2606,2606,,,
TN313,,,,RS03AXBS-LJ03A-12-DOSTAD301,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58320-00003,45.81684669,-129.7541572,,2606,2606,,,
TN313,,,,RS03AXBS-MJ03A-05-HYDLFA301,1,1,2014-08-08T11:14:00,,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-58693-00001,45.82018882,-129.736708,,2608,2608,,,
TN313,,,,RS03AXBS-MJ03A-05-OBSBBA303,1,1,2014-08-08T11:14:00,,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-58328-00001,45.82017625,-129.7367092,,2607,2607,RSN deployed equipment list shows OBSBBA301,,
TN313,,,,RS03AXBS-MJ03A-06-PRESTA301,1,1,2014-08-08T16:39:00,2016-07-12T00:00:00,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-67639-00003,45.82021403,-129.7364074,,2606,2606,,,
TN313,,,,RS03AXBS-MJ03A-12-VEL3DB301,1,1,2014-08-08T17:11:00,2016-07-12T00:00:00,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-67979-00005,45.82019613,-129.7364047,,2608,2608,,,
TN326,,,,RS03AXBS-LJ03A-05-HPIESA301,2,1,2015-07-26T02:36:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-58323-00004,45.82404727,-129.7599531,,2609,2609,,,
TN326,,,,RS03AXBS-LJ03A-09-HYDBBA302,2,1,2015-07-13T05:24:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-58324-00011,45.81686859,-129.7543619,,2610,2610,,,
TN326,,,,RS03AXBS-LJ03A-10-ADCPTE303,2,1,2015-07-13T05:24:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-68073-00005,45.81686859,-129.7543619,,2610,2610,,,
TN326,,,,RS03AXBS-LJ03A-11-OPTAAC303,2,1,2015-07-13T05:43:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-69943-00001,45.81687883,-129.7542475,,2606,2606,,,
TN326,,,,RS03AXBS-LJ03A-12-CTDPFB301,2,1,2015-07-13T05:43:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-67627-00005,45.81687883,-129.7542475,,2606,2606,,,
TN326,,,,RS03AXBS-LJ03A-12-DOSTAD301,2,1,2015-07-13T05:43:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-58320-00014,45.81687883,-129.7542475,,2606,2606,,,
SKQ201610S,,,,RS03AXBS-MJ03A-06-PRESTA301,2,1,2016-07-13T00:00:00,2020-08-05T15:06:00,RS03AXBS-MJ03A-0000,ATAPL-65244-00035,ATAPL-67639-00006,45.8202315,-129.7364251,,2611,2611,,,
SKQ201610S,,,,RS03AXBS-MJ03A-12-VEL3DB301,2,1,2016-07-13T00:00:00,,RS03AXBS-MJ03A-0000,ATAPL-65244-00035,ATAPL-67979-00008,45.82011403,-129.7365555,,2611,2611,,,
SKQ201610S,,,,RS03AXBS-LJ03A-05-HPIESA301,3,1,2016-07-28T00:00:00,2018-07-09T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58323-00001,45.82421486,-129.7599478,,2614,2614,,,
SKQ201610S,,,,RS03AXBS-LJ03A-09-HYDBBA302,3,1,2016-07-12T00:00:00,2017-07-31T01:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATOSU-58324-00016,45.81668416,-129.7543543,,2610,2610,,,
SKQ201610S,,,,RS03AXBS-LJ03A-10-ADCPTE303,3,1,2016-07-12T00:00:00,2017-07-31T01:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-68073-00003,45.8167775,-129.7541811,,2610,2610,,,
SKQ201610S,,,,RS03AXBS-LJ03A-11-OPTAAC303,3,1,2016-07-12T00:00:00,2017-07-31T01:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-69943-00003,45.81684033,-129.7541874,,2610,2610,,,
SKQ201610S,,,,RS03AXBS-LJ03A-12-CTDPFB301,3,1,2016-07-12T00:00:00,2017-07-31T01:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-67627-00003,45.81684033,-129.7541874,,2610,2610,,,
