CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-313,,,,RS03AXPD-DP03A-00-ENG000000,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71403-00001,,ATAPL-71553-00005,45.82972,-129.75904,,,2901,
TN-313,,,,RS03AXPD-DP03A-01-CTDPFL304,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71403-00001,,ATAPL-67977-00002,45.82972,-129.75904,,,2901,
TN-313,,,,RS03AXPD-DP03A-02-VEL3DA303,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71403-00001,,ATAPL-58346-00002,45.82972,-129.75904,,,2901,
TN-313,,,,RS03AXPD-DP03A-03-FLCDRA302,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71403-00001,,ATAPL-70111-00002,45.82972,-129.75904,,,2901,
TN-313,,,,RS03AXPD-DP03A-03-FLNTUA302,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71403-00001,,ATAPL-70110-00002,45.82972,-129.75904,,,2901,
TN-313,,,,RS03AXPD-DP03A-06-DOSTAD304,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71403-00001,,ATAPL-58320-00001,45.82972,-129.75904,,,2901,
#TN-313,,,,RS03AXPD-PD03A,1,1,2014-08-09T21:00:00,2016-10-08T00:00:00,ATAPL-71553-00005,,,45.82972,-129.75904,,,2901,
RR1715,,,,RS03AXPD-DP03A-01-CTDPFL304,2,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-71403-00001,,ATOSU-67977-00006,45.82972,-129.75904,,,2901,
RR1715,,,,RS03AXPD-DP03A-02-VEL3DA303,2,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-71403-00001,,ATAPL-58346-00006,45.82972,-129.75904,,,2901,
RR1715,,,,RS03AXPD-DP03A-03-FLCDRA302,2,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-71403-00001,,ATAPL-70111-00005,45.82972,-129.75904,,,2901,
RR1715,,,,RS03AXPD-DP03A-03-FLNTUA302,2,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-71403-00001,,ATAPL-70110-00005,45.82972,-129.75904,,,2901,
RR1715,,,,RS03AXPD-DP03A-06-DOSTAD304,2,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-71403-00001,,ATAPL-58320-00015,45.82972,-129.75904,,,2901,
RR1812,,,,RS03AXPD-DP03A-01-CTDPFL304,3,1,2018-07-26T00:00:00,2019-07-01T00:00:00,ATAPL-71403-00001,,ATOSU-67977-00007,45.82972,-129.75904,,,2901,
RR1812,,,,RS03AXPD-DP03A-02-VEL3DA303,3,1,2018-07-26T00:00:00,2019-07-01T00:00:00,ATAPL-71403-00001,,ATAPL-58346-00004,45.82972,-129.75904,,,2901,
RR1812,,,,RS03AXPD-DP03A-03-FLCDRA302,3,1,2018-07-26T00:00:00,2019-07-01T00:00:00,ATAPL-71403-00001,,ATAPL-70111-00004,45.82972,-129.75904,,,2901,
RR1812,,,,RS03AXPD-DP03A-03-FLNTUA302,3,1,2018-07-26T00:00:00,2019-07-01T00:00:00,ATAPL-71403-00001,,ATAPL-70110-00004,45.82972,-129.75904,,,2901,
RR1812,,,,RS03AXPD-DP03A-06-DOSTAD304,3,1,2018-07-26T00:00:00,2019-07-01T00:00:00,ATAPL-71403-00001,,ATAPL-58320-00010,45.82972,-129.75904,,,2901,
AT-42-12,,,,RS03AXPD-DP03A-01-CTDPFL304,4,1,2019-07-25T00:00:00,,ATAPL-71403-00001,,ATOSU-67977-00006,45.82972,-129.75904,,nan,2901,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth
AT-42-12,,,,RS03AXPD-DP03A-02-VEL3DA303,4,1,2019-07-25T00:00:00,,ATAPL-71403-00001,,ATAPL-58346-00006,45.82972,-129.75904,,nan,2901,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth
AT-42-12,,,,RS03AXPD-DP03A-03-FLCDRA302,4,1,2019-07-25T00:00:00,,ATAPL-71403-00001,,ATAPL-70111-00005,45.82972,-129.75904,,nan,2901,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth
AT-42-12,,,,RS03AXPD-DP03A-03-FLNTUA302,4,1,2019-07-25T00:00:00,,ATAPL-71403-00001,,ATOSU-70110-00006,45.82972,-129.75904,,nan,2901,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth
AT-42-12,,,,RS03AXPD-DP03A-06-DOSTAD304,4,1,2019-07-25T00:00:00,,ATAPL-71403-00001,,ATOSU-58320-00018,45.82972,-129.75904,,nan,2901,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth

