CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
TN-326,,,,RS03AXPS-PC03A-05-ADCPTD302,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58315-00005,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-06-VADCPA301,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58345-00005,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-07-CAMDSC302,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58317-00003,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-08-HYDBBA303,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58324-00009,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-4A-CTDPFA303,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-66662-00011,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-4A-DOSTAD303,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58320-00012,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-4B-PHSENA302,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58337-00001,45.83049,-129.75326,,190
TN-326,,,,RS03AXPS-PC03A-4C-FLORDD303,2,1,2015-07-09T00:07:00,2016-07-14T00:00:00,ATAPL-69839-001-0106,,ATAPL-58322-00012,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-2A-CTDPFA302,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-66662-00010,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-2A-DOFSTA302,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-58694-00006,,,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-2D-PHSENA301,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-58337-00009,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-3A-FLORTD301,2,1,2015-07-09T04:16:00,,ATAPL-68870-001-0145,,ATAPL-58322-00010,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-3B-OPTAAD301,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-58332-00006,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-3C-PARADA301,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-66645-00007,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-3D-SPKIRA301,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-58341-00007,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-4A-NUTNRA301,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-68020-00007,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-4B-VELPTD302,2,1,2015-07-09T04:16:00,,ATAPL-68870-001-0145,,ATAPL-70114-00007,45.83049,-129.75326,,190
TN326,,,,RS03AXPS-SF03A-4F-PCO2WA301,2,1,2015-07-09T04:16:00,2016-07-14T00:00:00,ATAPL-68870-001-0145,,ATAPL-58336-00009,45.83049,-129.75326,,190
