OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00260,CE01ISSM-00003,,Mooring,CE01ISSM-00003,6/3/2015,
,,CTDBP S/N,,N/A,,
,,FLORT S/N,,N/A,,
A01025,,VELPT S/N,Sensor,AQD 11823,,
,,WAVSS S/N,,N/A,,
,,ADCP S/N,,N/A,,
A00126,,CTDBP S/N,Sensor,16P71879-7240,,
A00174,,DOSTA S/N,Sensor,136,,
A00218,,FLORT S/N,Sensor,995,,
A00691,,NUTNR S/N,Sensor,264,,
,,NUTNR Batt S/N,,,,
A01192,,OPTAA S/N,Sensor,ACS-214,,
A00260,,PCO2W S/N,Sensor,C0063,,
A00261,,PHSEN S/N,Sensor,P0083,,
A00094,,SPKIR S/N,Sensor,231,,
A00239,,VELPT S/N,Sensor,AQD 8535,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
N00416,,ADCP S/N,Sensor,21524,,
N00515,,CAMDS S/N,Sensor,0484-6102-0110,,
A01090,,CTDBP S/N,Sensor,16-50055,,
A00807,,DOSTA S/N,Sensor,315,,
A00581,,OPTAA S/N,Sensor,ACS-149,,
A00073,,PCO2W S/N,Sensor,C0052,,
A00266,,PHSEN S/N,Sensor,P0086,,
A01014,,PRESF S/N,Sensor,26P76848-1383,,
,,VELPT S/N,,N/A,,
A00247,,VEL3D S/N,Sensor,8158,,
A01152,,ZPLSC S/N,Sensor,55076,,
OL000192,,CE01ISSM-00003-CPM1,,CE01ISSM-00003-CPM1,,
OL000193,,CE01ISSM-00003-CPM3,,CE01ISSM-00003-CPM3,,
OL000194,,CE01ISSM-00003-DCL17,,CE01ISSM-00003-DCL17,,
OL000195,,CE01ISSM-00003-DCL16,,CE01ISSM-00003-DCL16,,
OL000196,,CE01ISSM-00003-DCL35,,CE01ISSM-00003-DCL35,,
OL000197,,CE01ISSM-00003-DCL37,,CE01ISSM-00003-DCL37,,
OL000198,,CE01ISSM-00003-MOPAK,sensor,CE01ISSM-00003-MOPAK,,
