OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-65291-030-0045,CE04OSBP-LV01C,,Mooring,SN0045,9/6/2014,
N00691,,CE04OSBP-LV01C-06-CAMDSB106,Sensor,105,,
,,,,,,
ATAPL-65310-030-0005,CE04OSBP-LJ01C,,Mooring,SN0005,8/15/2014,
ATOSU-69825-00002,,CE04OSBP-LJ01C-05-ADCPSI103,Sensor,18153,,
ATOSU-69828-00001,,CE04OSBP-LJ01C-06-CTDBPO108,Sensor,16P71176-7231,,
ATOSU-58320-00021,,CE04OSBP-LJ01C-06-DOSTAD108,Sensor,133,,
ATOSU-69829-00004,,CE04OSBP-LJ01C-07-VEL3DC107,Sensor,8159,,
ATOSU-69943-00011,,CE04OSBP-LJ01C-08-OPTAAC104,Sensor,140,,
ATOSU-70570-00002,,CE04OSBP-LJ01C-09-PCO2WB104,Sensor,C0080,,
ATOSU-70571-00002,,CE04OSBP-LJ01C-10-PHSEND107,Sensor,P0117,,
ATOSU-58324-00015,,CE04OSBP-LJ01C-11-HYDBBA105,Sensor,1249,,
,,,,,,
N00281,CE04OSBP-LJ01C,,Mooring,SN0008,8/3/2015,
ATOSU-69825-00001,,CE04OSBP-LJ01C-05-ADCPSI103,Sensor,21498,,
A00163,,CE04OSBP-LJ01C-06-CTDBPO108,Sensor,16P71879-7249,,
ATOSU-58320-00022,,CE04OSBP-LJ01C-06-DOSTAD108,Sensor,381,,
ATOSU-69829-00002,,CE04OSBP-LJ01C-07-VEL3DC107,Sensor,5156,,
ATOSU-69943-00010,,CE04OSBP-LJ01C-08-OPTAAC104,Sensor,191,,
A01045,,CE04OSBP-LJ01C-09-PCO2WB104,Sensor,C0090,,
A01046,,CE04OSBP-LJ01C-10-PHSEND107,Sensor,P0132,,
N00689,,CE04OSBP-LJ01C-11-HYDBBA105,Sensor,1250,,
,,,,,,
ATAPL-65310-810-0005,CE04OSBP-LJ01C,,Mooring,SN0006,7/22/2016,
ATOSU-69825-00002,,CE04OSBP-LJ01C-05-ADCPSI103,Sensor,18153,,
ATOSU-69828-00001,,CE04OSBP-LJ01C-06-CTDBPO108,Sensor,16P71176-7231,,
ATOSU-58320-00021,,CE04OSBP-LJ01C-06-DOSTAD108,Sensor,133,,
ATOSU-69829-00004,,CE04OSBP-LJ01C-07-VEL3DC107,Sensor,8159,,
ATOSU-69943-00011,,CE04OSBP-LJ01C-08-OPTAAC104,Sensor,140,,
ATOSU-70570-00002,,CE04OSBP-LJ01C-09-PCO2WB104,Sensor,C0080,,
ATOSU-70571-00002,,CE04OSBP-LJ01C-10-PHSEND107,Sensor,P0117,,
ATOSU-58324-00015,,CE04OSBP-LJ01C-11-HYDBBA105,Sensor,1249,,
