OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00228,CP01CNSM-00001,,Mooring,CP01CNSM-00001,11/21/2013,
,,FDCHP (anemometer) S/N,,,,
,,FDCHP (housing) S/N,,,,
N00745,,METBK-Log S/N,Sensor,LGR001,,
A00192,,METBK-BPR S/N,Sensor,BPR238,,
A00204,,METBK-CT S/N,Sensor,37-10139,,
A00191,,METBK-HRH S/N,Sensor,HRH261,,
A00196,,METBK-LWR S/N,Sensor,LWR241,,
A00200,,METBK-PRC S/N,Sensor,PRC232,,
A00188,,METBK-SWR S/N,Sensor,SWR242,,
A00187,,METBK-WND S/N,Sensor,SWND229,,
N00746,,METBK-Log S/N,Sensor,LGR002,,
A00185,,METBK-BPR S/N,Sensor,BPR237,,
A00190,,METBK-CT S/N,Sensor,37-10137,,
A00184,,METBK-HRH S/N,Sensor,HRH260,,
A00189,,METBK-LWR S/N,Sensor,LWR240,,
A00186,,METBK-PRC S/N,Sensor,PRC231,,
A00195,,METBK-SWR S/N,Sensor,SWR243,,
A00194,,METBK-WND S/N,Sensor,SWND230,,
A00220,,PCO2A S/N,Sensor,33-154-50A,,
,,VELPT S/N,,N/A,,
A00081,,WAVSS S/N,Sensor,4581,,
,,MOPAK S/N,,,,
,,ADCP S/N,,N/A,,
A00082,,CTDBP S/N,Sensor,16P71174-7208,,
A00167,,DOSTA S/N,Sensor,131,,
A00084,,FLORT S/N,Sensor,994,,
A00066,,NUTNR S/N,Sensor,240,,
,,NUTNR Batt S/N,,,,
A00098,,OPTAA S/N,Sensor,ACS-123,,
,,PCO2W S/N,,N/A,,
A00389,,PHSEN S/N,Sensor,P0096,,
A00405,,SPKIR S/N,Sensor,238,,
A00416,,VELPT S/N,Sensor,AQD 11402,,
A00272,,MFN AcousticRelease S/N,Sensor,45542,,
A01310,,MFN AcousticRelease S/N,Sensor,50467,,
,,ARM AcousticRelease S/N,,,,
A00072,,ADCP S/N,Sensor,18594,,
,,CAMDS S/N,,N/A,,
A00132,,CTDBP S/N,Sensor,16P71879-7239,,
A00168,,DOSTA S/N,Sensor,132,,
A00178,,OPTAA S/N,Sensor,ACS-129,,
A00386,,PCO2W S/N,Sensor,C0069,,
A00388,,PHSEN S/N,Sensor,P0095,,
A00165,,PRESF S/N,Sensor,26P71826-1352,,
A00117,,VELPT S/N,Sensor,AQD 8550,,
,,VEL3D S/N,,N/A,,
,,ZPLSC S/N,,N/A,,
