OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00218,GA03FLMA-00001,,Mooring,GA03FLMA-00001,3/17/2015,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,323,,
,,Flasher S/N,,597,,
,,Controller S/N,,13995 / 20,,
A01145,,DOSTA S/N,Sensor,428,,
A01496,,FLORD S/N,Sensor,1215,,
N00501,,PHSEN S/N,Sensor,P0141,,
A00937,,CTDMO S/N,Sensor,37-12401,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,326,,
,,Flasher S/N,,596,,
,,Controller S/N,,13989 / 25,,
,,ACOMM S/N,,64831,,
A00569,,ADCP S/N,Sensor,20503,,
A00937,,CTDMO S/N,Sensor,37-12401,,
,,Battery Pack S/N,,1400014,,
,,Battery Pack S/N,,1400017,,
A01514,,CTDMO S/N,Sensor,37-12584,,
A00947,,CTDMO S/N,Sensor,37-12408,,
A01517,,CTDMO S/N,Sensor,37-12608,,
A01518,,CTDMO S/N,Sensor,37-12609,,
A00948,,CTDMO S/N,Sensor,37-12409,,
A00951,,CTDMO S/N,Sensor,37-12412,,
A00949,,CTDMO S/N,Sensor,37-12410,,
A00954,,CTDMO S/N,Sensor,37-12394,,
A01513,,CTDMO S/N,Sensor,37-12618,,
A01519,,CTDMO S/N,Sensor,37-12619,,
A00775,,AcousticRelease S/N,,48498,,
A00777,,AcousticRelease S/N,,48500,,
A00782,,AcousticRelease S/N,,48505,,
OL000001,,SIO Controller,,13989 / 25,,
OL000002,,SIO Controller,,13995 / 20,,
