OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00219,GA03FLMB-00001,,Mooring,GA03FLMB-00001,3/21/2015,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,320,,
,,Flasher S/N,,595,,
OL000004,,Controller S/N,,13998,,
A01144,,DOSTA S/N,Sensor,427,,
A01499,,FLORD S/N,Sensor,1219,,
A00971,,PHSEN S/N,Sensor,P0142,,
A00669,,CTDMO S/N,Sensor,37-11595,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,321,,
,,Flasher S/N,,594,,
OL000003,,Controller S/N,,13993,,
,,ACOMM S/N,,64770 / 42,,
A01506,,ADCP S/N,Sensor,21497,,
A00939,,CTDMO S/N,Sensor,37-12403,,
,,Battery Pack S/N,,1400021,,
,,Battery Pack S/N,,1400022,,
A00952,,CTDMO S/N,Sensor,37-12413,,
A00943,,CTDMO S/N,Sensor,37-12404,,
A00953,,CTDMO S/N,Sensor,37-12414,,
A00946,,CTDMO S/N,Sensor,37-12407,,
A00676,,CTDMO S/N,Sensor,37-11605,,
A01403,,CTDMO S/N,Sensor,37-11651,,
A00668,,CTDMO S/N,Sensor,37-11610,,
A00936,,CTDMO S/N,Sensor,37-12400,,
A00955,,CTDMO S/N,Sensor,37-12395,,
A00913,,CTDMO S/N,Sensor,37-12387,,
A00914,,CTDMO S/N,Sensor,37-12388,,
A00783,,AcousticRelease S/N,,48506,,
A00774,,AcousticRelease S/N,,48497,,
A00208,,AcousticRelease S/N,,45266,,
