OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00224,GI03FLMA-00001,,Mooring,GI03FLMA-00001,11/12/2014,
A00414,,DOSTA S/N,Sensor,228,,
A00466,,FLORT S/N,Sensor,1122,,
A00160,,PHSEN S/N,Sensor,P0079,,
A00678,,CTDMO S/N,Sensor,37-11613,,
A00569,,ADCP S/N,Sensor,20503,,
A00681,,CTDMO S/N,Sensor,37-11608,,
A00680,,CTDMO S/N,Sensor,37-11533,,
A00908,,CTDMO S/N,Sensor,37-12308,,
A00909,,CTDMO S/N,Sensor,37-12309,,
A00679,,CTDMO S/N,Sensor,37-11534,,
A00684,,CTDMO S/N,Sensor,37-11606,,
A00866,,CTDMO S/N,Sensor,37-12189,,
A00675,,CTDMO S/N,Sensor,37-11604,,
A00681,,CTDMO S/N,Sensor,37-11608,,
A00690,,CTDMO S/N,Sensor,37-11599,,
A00686,,CTDMO S/N,Sensor,37-11602,,
A00688,,CTDMO S/N,Sensor,37-11597,,
A00875,,CTDMO S/N,Sensor,37-12225,,
N00507,,VELPT S/N,Sensor,AQD 11669,,
A00872,,CTDMO S/N,Sensor,37-12222,,
N00508,,VELPT S/N,Sensor,AQD 11964,,
A00915,,CTDMO S/N,Sensor,37-12389,,
N00509,,VELPT S/N,Sensor,AQD 11967,,
A00877,,CTDMO S/N,Sensor,37-12227,,
N00510,,VELPT S/N,Sensor,AQD 11970,,
A00539,,AcousticRelease S/N,,46367,,
A00211,,AcousticRelease S/N,,45269,,
A00561,,AcousticRelease S/N,,46267,,
OL000019,,SIO Controller S/N,,13286,,
OL000020,,SIO Controller S/N,,13280,,
