OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00227,GI03FLM2-00002,,Mooring,GI03FLMB-00002,8/20/2015,
A01306,,DOSTA S/N,Sensor,466,,
A01425,,FLORT S/N,Sensor,1299,,
A01641,,PHSEN S/N,Sensor,P0173,,
A01449,,CTDMO S/N,Sensor,37-13430,,
A01510,,ADCP S/N,Sensor,23381,,
A01457,,CTDMO S/N,Sensor,37-13438,,
A01450,,CTDMO S/N,Sensor,37-13431,,
A01451,,CTDMO S/N,Sensor,37-13432,,
A01452,,CTDMO S/N,Sensor,37-13433,,
A01453,,CTDMO S/N,Sensor,37-13434,,
A01454,,CTDMO S/N,Sensor,37-13435,,
A01455,,CTDMO S/N,Sensor,37-13436,,
A01456,,CTDMO S/N,Sensor,37-13437,,
A01466,,CTDMO S/N,Sensor,37-13451,,
A01467,,CTDMO S/N,Sensor,37-13452,,
A01468,,CTDMO S/N,Sensor,37-13453,,
A01469,,CTDMO S/N,Sensor,37-13454,,
N00520,,VELPT S/N,Sensor,AQD 12652,,
A01470,,CTDMO S/N,Sensor,37-13455,,
N00521,,VELPT S/N,Sensor,AQD 12095,,
A01471,,CTDMO S/N,Sensor,37-13456,,
N00522,,VELPT S/N,Sensor,AQD 12459,,
A01472,,CTDMO S/N,Sensor,37-13457,,
N00523,,VELPT S/N,Sensor,AQD 12197,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
OL000025,,Controller,,14874,,
OL000026,,Controller,,14876,,
