OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00252,GP03FLMA-00002,,Mooring,GP03FLMA-00002,6/17/2014,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,323,,
,,Flasher S/N,,597,,
OL000089,,Controller S/N,,13278,,
A00169,,DOSTA S/N,Sensor,127,,
A00470,,FLORT S/N,Sensor,1116,,
A01502,,PHSEN S/N,Sensor,P0103,,
A00937,,CTDMO S/N,Sensor,37-12401,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,326,,
,,Flasher S/N,,596,,
OL000090,,Controller S/N,,13279,,
,,ACOMM S/N,,64831,,
A00568,,ADCP S/N,Sensor,20502,,
A01394,,CTDMO S/N,Sensor,37-11642,,
,,Battery Pack S/N,,1400014,,
,,Battery Pack S/N,,1400017,,
A01389,,CTDMO S/N,Sensor,37-11637,,
A01395,,CTDMO S/N,Sensor,37-11643,,
A00114,,CTDMO S/N,Sensor,37-10225,,
A01396,,CTDMO S/N,Sensor,37-11644,,
A01397,,CTDMO S/N,Sensor,37-11645,,
A01399,,CTDMO S/N,Sensor,37-11647,,
A00107,,CTDMO S/N,Sensor,37-10218,,
A01401,,CTDMO S/N,Sensor,37-11649,,
A01410,,CTDMO S/N,Sensor,37-11683,,
A01408,,CTDMO S/N,Sensor,37-11681,,
A01412,,CTDMO S/N,Sensor,37-11704,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
