OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00255,GP03FLMB-00003,,Mooring,GP03FLMB-00003,6/8/2015,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,320,,
,,Flasher S/N,,595,,
OL000104,,Controller S/N,,1399201,,
A00899,,DOSTA S/N,Sensor,391,,
A00153,,FLORT S/N,Sensor,1004,,
A00490,,PHSEN S/N,Sensor,P0105,,
A01520,,CTDMO S/N,Sensor,37-12638,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,321,,
,,Flasher S/N,,594,,
OL000102,,Controller S/N,,1237101,,
,,ACOMM S/N,,64770 / 42,,
A01511,,ADCP S/N,Sensor,22846,,
,,CTDMO S/N,Sensor,,,
,,Battery Pack S/N,,1400021,,
,,Battery Pack S/N,,1400022,,
A00944,,CTDMO S/N,Sensor,37-12405,,
A01404,,CTDMO S/N,Sensor,37-11652,,
A00144,,CTDMO S/N,Sensor,37-10259,,
A00146,,CTDMO S/N,Sensor,37-10261,,
A00147,,CTDMO S/N,Sensor,37-10262,,
A00940,,CTDMO S/N,Sensor,37-12378,,
A00674,,CTDMO S/N,Sensor,37-11596,,
A00139,,CTDMO S/N,Sensor,37-10254,,
A00912,,CTDMO S/N,Sensor,37-12386,,
A01409,,CTDMO S/N,Sensor,37-11682,,
A00870,,CTDMO S/N,Sensor,37-12220,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
