OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00375,GP05MOAS-GL276,,Platform,276,6/15/2015,
,,ADCP S/N,,,,
N00620,,CTDGV S/N,Sensor,104,,
N00621,,DOSTA S/N,Sensor,12,,
N00622,,FLORT S/N,Sensor,FLBBCDSLC-3260,,
,,PARAD S/N,,,,
,,,,,,
A00376,GP05MOAS-GL361,,Platform,361,2/20/2014,
,,ADCP S/N,,,,
N00623,,CTDGV S/N,Sensor,9058,,
N00624,,DOSTA S/N,Sensor,139,,
N00625,,FLORD S/N,Sensor,FLBBSLC-3061,,
,,PARAD S/N,,,,
,,,,,,
A00377,GP05MOAS-GL362,,Platform,362,9/4/2014,
,,ADCP S/N,,,,
N00626,,CTDGV S/N,Sensor,9064,,
N00627,,DOSTA S/N,Sensor,159,,
N00628,,FLORT S/N,Sensor,FLBBSLC-3064,,
,,PARAD S/N,,,,
,,,,,,
A00378,GP05MOAS-GL363,,Platform,363,7/19/2013,
,,ADCP S/N,,,,
N00629,,CTDGV S/N,Sensor,9065,,
N00630,,DOSTA S/N,Sensor,161,,
N00631,,FLORD S/N,Sensor,FLBBSLC-3063,,
,,PARAD S/N,,,,
,,,,,,
A00379,GP05MOAS-GL364,,Platform,364,6/15/2014,
,,ADCP S/N,,,,
N00632,,CTDGV S/N,Sensor,9066,,
N00633,,DOSTA S/N,Sensor,168,,
N00634,,FLORD S/N,Sensor,FLBBSLC-3123,,
,,PARAD S/N,,,,
,,,,,,
A00380,GP05MOAS-GL365,,Platform,365,7/19/2013,
,,ADCP S/N,,,,
N00635,,CTDGV S/N,Sensor,9061,,
N00636,,DOSTA S/N,Sensor,169,,
N00637,,FLORD S/N,Sensor,FLBBSLC-3124,,
,,PARAD S/N,,,,
,,,,,,
A00852,GP05MOAS-GL453,,Platform,453,8/29/2014,
,,ADCP S/N,,,,
N00638,,CTDGV S/N,Sensor,9158,,
N00639,,DOSTA S/N,Sensor,281,,
N00640,,FLORD S/N,Sensor,FLBBSLC-3527,,
,,PARAD S/N,,,,
,,,,,,
A01296,GP05MOAS-GL523,,Platform,523,6/2/2015,
,,ADCP S/N,,,,
N00641,,CTDGV S/N,Sensor,9235,,
N00642,,DOSTA S/N,Sensor,362,,
N00643,,FLORD S/N,Sensor,FLBBSLC-3580,,
,,PARAD S/N,,,,
,,,,,,
A01308,GP05MOAS-GL525,,Platform,525,6/2/2015,
,,ADCP S/N,,,,
N00644,,CTDGV S/N,Sensor,9232,,
N00645,,DOSTA S/N,Sensor,364,,
N00646,,FLORD S/N,Sensor,FLBBSLC-3579,,
,,PARAD S/N,,,,
,,,,,,
A01432,GP05MOAS-GL537,,Platform,537,6/2/2015,
,,ADCP S/N,,,,
N00647,,CTDGV S/N,Sensor,9237,,
N00648,,DOSTA S/N,Sensor,400,,
N00649,,FLORD S/N,Sensor,FLBBSLC-3582,,
,,PARAD S/N,,,,
,,,,,,
A01222,GP05MOAS-PG514,,Platform,514,6/2/2015,
,,ADCP S/N,,,,
N00650,,CTDGV S/N,Sensor,9230,,
N00651,,DOSTA S/N,Sensor,361,,
N00652,,NUTNR S/N,Sensor,357,,
,,PARAD S/N,,,,
,,,,,,
A01223,GP05MOAS-PG515,,Platform,515,6/2/2015,
,,ADCP S/N,,,,
N00653,,CTDGV S/N,Sensor,9231,,
N00654,,FLORT S/N,Sensor,3501,,
N00655,,PARAD S/N,Sensor,50185,,
