OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00259,GS03FLMB-00001,,Mooring,GS03FLMB-00001,2/23/2015,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,320,,
,,Flasher S/N,,595,,
OL000082,,Controller S/N,,13991,,
A00900,,DOSTA S/N,Sensor,392,,
A01498,,FLORT S/N,Sensor,1217,,
A00973,,PHSEN S/N,Sensor,P0144,,
,,CTDMO S/N,Sensor,,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,321,,
,,Flasher S/N,,594,,
OL000081,,Controller S/N,,13997,,
,,ACOMM S/N,,64770 / 42,,
N00506,,ADCP S/N,Sensor,13992,,
A01516,,CTDMO S/N,Sensor,37-12587,,
,,Battery Pack S/N,,1400021,,
,,Battery Pack S/N,,1400022,,
A00929,,CTDMO S/N,Sensor,37-12377,,
A00921,,CTDMO S/N,Sensor,37-12313,,
A00920,,CTDMO S/N,Sensor,37-12312,,
A00934,,CTDMO S/N,Sensor,37-12375,,
A00930,,CTDMO S/N,Sensor,37-12332,,
A00941,,CTDMO S/N,Sensor,37-12379,,
A00931,,CTDMO S/N,Sensor,37-12331,,
A00932,,CTDMO S/N,Sensor,37-12314,,
A00957,,CTDMO S/N,Sensor,37-12393,,
A00956,,CTDMO S/N,Sensor,37-12392,,
A00959,,CTDMO S/N,Sensor,37-12384,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
