OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A01189,GS05MOAS-GL486,,Platform,486,2/21/2015,
,,ADCP S/N,,,,
N00666,,CTDGV S/N,Sensor,9174,,
N00665,,DOSTA S/N,Sensor,323,,
N00664,,FLORD S/N,Sensor,3551,,
OL000135,,Controller,,,,
,,,,,,
,GS05MOAS-GL524,,Platform,524,2/21/2015,
,,ADCP S/N,,,,
OL000143,,CTDGV S/N,Sensor,9238,,
OL000142,,DOSTA S/N,Sensor,363,,
OL000141,,FLORD S/N,Sensor,3770,,
OL000136,,Controller,,524,,
,,,,,,
,GS05MOAS-GL560,,Platform,560,2/21/2015,
,,ADCP S/N,,,,
OL000146,,CTDGV S/N,Sensor,9269,,
OL000145,,DOSTA S/N,Sensor,418,,
OL000144,,FLORD S/N,Sensor,4095,,
OL000137,,Controller,,,,
,,,,,,
,GS05MOAS-GL561,,Platform,561,2/21/2015,
,,ADCP S/N,,,,
OL000150,,CTDGV S/N,Sensor,9270,,
OL000149,,DOSTA S/N,Sensor,406,,
OL000148,,FLORD S/N,Sensor,3769,,
OL000138,,Controller,,,,
,,,,,,
OL000151,GS05MOAS-PG565,,Platform,565,2/21/2015,
OL000168,,CTDGV S/N,Sensor,9287,,
OL000169,,DOSTA S/N,Sensor,437,,
OL000170,,NUTNR S/N,Sensor,661,,
OL000171,,PARAD S/N,Sensor,50200,,
OL000172,,FLORTM S/N,Sensor,3815,,
OL000173,,FLORTO S/N,Sensor,1332,,
OL000139,,Controller,,565,,
,,,,,,
OL000152,GS05MOAS-PG566,,Platform,566,2/21/2015,
OL000174,,CTDGV S/N,Sensor,9288,,
OL000175,,DOSTA S/N,Sensor,414,,
OL000176,,NUTNR S/N,Sensor,660,,
OL000177,,PARAD S/N,Sensor,50201,,
OL000178,,FLORTM S/N,Sensor,4039,,
OL000179,,FLORTO S/N,Sensor,1333,,
OL000140,,Controller,,566,,
