OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-71403-00002,RS01SBPD-DP01A,,Mooring,13152-03,8/23/2014,
ATAPL-58320-00002,,RS01SBPD-DP01A-06-DOSTAD104,Sensor,344,,
ATAPL-70110-00001,,RS01SBPD-DP01A-04-FLNTUA102,Sensor,FLNTURTD-3099,,
ATAPL-70111-00001,,RS01SBPD-DP01A-03-FLCDRA102,Sensor,FLCDRTD-3098,,
ATAPL-58346-00001,,RS01SBPD-DP01A-02-VEL3DA103,Sensor,1001,,
ATAPL-67977-00001,,RS01SBPD-DP01A-01-CTDPFL104,Sensor,5273520-0120,,
ATAPL-71553-00002,RS01SBPD-PD01A,,Mooring,SN0003,8/23/2014,
,,,,,,
ATAPL-71403-00002,RS01SBPD-DP01A,,Mooring,13152-03,7/22/2015,
ATAPL-58320-00010,,RS01SBPD-DP01A-06-DOSTAD104,Sensor,459,,
ATAPL-69943-00004,,RS01SBPD-DP01A-05-OPTAAC102,Sensor,158,,
ATAPL-70110-00004,,RS01SBPD-DP01A-04-FLNTUA104,Sensor,3637,,
ATAPL-70111-00004,,RS01SBPD-DP01A-03-FLCDRA104,Sensor,3715,,
ATAPL-58346-00006,,RS01SBPD-DP01A-02-VEL3DA103,Sensor,1215,,
ATAPL-67977-00004,,RS01SBPD-DP01A-01-CTDPFL104,Sensor,52-0144,,
ATAPL-71553-00002,RS01SBPD-PD01A,,Mooring,SN0003,7/22/2015,
