OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-69839-001-0101,RS01SBPS-PC01A,,Mooring,SN0101,9/29/2014,
ATAPL-58322-00005,,RS01SBPS-PC01A-4C-FLORDD103,Sensor,1132,,
ATAPL-58337-00005,,RS01SBPS-PC01A-4B-PHSENA102,Sensor,SAMI2-P0113,,
ATAPL-58320-00005,,RS01SBPS-PC01A-4A-DOSTAD103,Sensor,275,,
ATAPL-66662-00001,,RS01SBPS-PC01A-4A-CTDPFA103,Sensor,16P65795-6914,,
ATAPL-58324-00005,,RS01SBPS-PC01A-08-HYDBBA103,Sensor,1273,,
ATAPL-58317-00003,,RS01SBPS-PC01A-07-CAMDSC102,Sensor,0103,,
ATAPL-58345-00003,,RS01SBPS-PC01A-06-VADCPA101,Sensor,19075,,
ATAPL-58315-00003,,RS01SBPS-PC01A-05-ADCPTD102,Sensor,18980,,
,,,,,,
ATAPL-69839-001-0104,RS01SBPS-PC01A,,Mooring,SN0104,7/7/2015,
ATAPL-58322-00011,,RS01SBPS-PC01A-4C-FLORDD103,Sensor,1297,,
ATAPL-58337-00010,,RS01SBPS-PC01A-4B-PHSENA102,Sensor,P0162,,
ATAPL-58320-00011,,RS01SBPS-PC01A-4A-DOSTAD103,Sensor,472,,
ATAPL-66662-00009,,RS01SBPS-PC01A-4A-CTDPFA103,Sensor,16-50118,,
ATAPL-58324-00008,,RS01SBPS-PC01A-08-HYDBBA103,Sensor,1361,,
ATAPL-58317-00001,,RS01SBPS-PC01A-07-CAMDSC102,Sensor,101,,
ATAPL-58345-00004,,RS01SBPS-PC01A-06-VADCPA101,Sensor,23340,,
ATAPL-58315-00004,,RS01SBPS-PC01A-05-ADCPTD102,Sensor,23338,,
,,,,,,
ATAPL-69839-001-0101,RS01SBPS-PC01A,,Mooring,SN0101,7/18/2016,
ATAPL-58322-00005,,RS01SBPS-PC01A-4C-FLORDD103,Sensor,1132,,
ATAPL-58337-00014,,RS01SBPS-PC01A-4B-PHSENA102,Sensor,P0164,,
ATAPL-58320-00005,,RS01SBPS-PC01A-4A-DOSTAD103,Sensor,275,,
ATAPL-66662-00001,,RS01SBPS-PC01A-4A-CTDPFA103,Sensor,16P65795-6914,,
ATAPL-58324-00005,,RS01SBPS-PC01A-08-HYDBBA103,Sensor,1273,,
ATAPL-58317-00009,,RS01SBPS-PC01A-07-CAMDSC102,Sensor,114,,
ATAPL-58345-00003,,RS01SBPS-PC01A-06-VADCPA101,Sensor,19075,,
ATAPL-58315-00003,,RS01SBPS-PC01A-05-ADCPTD102,Sensor,18980,,
,,,,,,
ATAPL-68870-001-0140,RS01SBPS-SF01A,,Mooring,SN0140,9/29/2014,
ATAPL-58336-00003,,RS01SBPS-SF01A-4F-PCO2WA101,Sensor,C0076,,
ATAPL-70114-00003,,RS01SBPS-SF01A-4B-VELPTD102,Sensor,AQS 6389/AQD 11641,,
ATAPL-68020-00003,,RS01SBPS-SF01A-4A-NUTNRA101,Sensor,380,,
ATAPL-58341-00003,,RS01SBPS-SF01A-3D-SPKIRA101,Sensor,245,,
ATAPL-66645-00003,,RS01SBPS-SF01A-3C-PARADA101,Sensor,464,,
ATAPL-58332-00001,,RS01SBPS-SF01A-3B-OPTAAD101,Sensor,ACS-134,,
ATAPL-58322-00003,,RS01SBPS-SF01A-3A-FLORTD101,Sensor,1130,,
ATAPL-58337-00003,,RS01SBPS-SF01A-2D-PHSENA101,Sensor,P0111,,
ATAPL-58694-00001,,RS01SBPS-SF01A-2A-DOFSTA102,Sensor,43-2463,,
ATAPL-66662-00002,,RS01SBPS-SF01A-2A-CTDPFA102,Sensor,16P71179-7205,,
,,,,,,
ATAPL-68870-001-0143,RS01SBPS-SF01A,,Mooring,SN0143,7/7/2015,
ATAPL-58336-00004,,RS01SBPS-SF01A-4F-PCO2WA101,Sensor,C0091,,
ATAPL-70114-00006,,RS01SBPS-SF01A-4B-VELPTD102,Sensor,"AQS-7205
AQD-12227",,
ATAPL-68020-00006,,RS01SBPS-SF01A-4A-NUTNRA101,Sensor,617,,
ATAPL-58341-00006,,RS01SBPS-SF01A-3D-SPKIRA101,Sensor,292,,
ATAPL-66645-00006,,RS01SBPS-SF01A-3C-PARADA101,Sensor,556,,
ATAPL-58332-00005,,RS01SBPS-SF01A-3B-OPTAAD101,Sensor,244,,
ATAPL-58322-00009,,RS01SBPS-SF01A-3A-FLORTD101,Sensor,1292,,
ATAPL-58337-00006,,RS01SBPS-SF01A-2D-PHSENA101,Sensor,P0133,,
ATAPL-58694-00005,,RS01SBPS-SF01A-2A-DOFSTA102,Sensor,43-3163,,
ATAPL-66662-00008,,RS01SBPS-SF01A-2A-CTDPFA102,Sensor,16-50115,,
,,,,,,
ATAPL-68870-001-0140,RS01SBPS-SF01A,,Mooring,SN0140,7/18/2016,
ATAPL-58336-00010,,RS01SBPS-SF01A-4F-PCO2WA101,Sensor,C0124,,
ATAPL-70114-00003,,RS01SBPS-SF01A-4B-VELPTD102,Sensor,AQS 6389/AQD 11641,,
ATAPL-68020-00003,,RS01SBPS-SF01A-4A-NUTNRA101,Sensor,380,,
ATAPL-58341-00003,,RS01SBPS-SF01A-3D-SPKIRA101,Sensor,245,,
ATAPL-66645-00003,,RS01SBPS-SF01A-3C-PARADA101,Sensor,464,,
ATOSU-58332-00009,,RS01SBPS-SF01A-3B-OPTAAD101,Sensor,169,,
ATAPL-58322-00003,,RS01SBPS-SF01A-3A-FLORTD101,Sensor,1130,,
ATAPL-58337-00013,,RS01SBPS-SF01A-2D-PHSENA101,Sensor,P0163,,
ATAPL-58694-00001,,RS01SBPS-SF01A-2A-DOFSTA102,Sensor,43-2463,,
ATAPL-66662-00002,,RS01SBPS-SF01A-2A-CTDPFA102,Sensor,16P71179-7205,,
