OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-65244-010-0023,RS01SLBS-MJ01A,,Mooring,SN0026,8/2/2013,
ATAPL-67979-00004,,RS01SLBS-MJ01A-12-VEL3DB101,Sensor,10313,,
ATAPL-67639-00004,,RS01SLBS-MJ01A-06-PRESTA101,Sensor,5471540-0030,,
ATAPL-58328-00005,,RS01SLBS-MJ01A-05-OBSBBA102,Sensor,T1074,,
ATAPL-58693-00005,,RS01SLBS-MJ01A-05-HYDLFA101,Sensor,299470,,
,,,,,,
ATAPL-65244-010-0023,RS01SLBS-MJ01A,,Mooring,SN0026,8/2/2013,
ATAPL-67679-00007,,RS01SLBS-MJ01A-12-VEL3DB101,Sensor,10350,,
ATAPL-67639-00005,,RS01SLBS-MJ01A-06-PRESTA101,Sensor,5471540-0046,,
,,,,,,
ATAPL-65310-010-0003,RS01SLBS-LJ01A,,Mooring,SN0003,8/4/2014,
ATAPL-58320-00004,,RS01SLBS-LJ01A-12-DOSTAD101,Sensor,274,,
ATAPL-67627-00002,,RS01SLBS-LJ01A-12-CTDPFB101,Sensor,16P71179-7234,,
ATAPL-69943-00002,,RS01SLBS-LJ01A-11-OPTAAC103,Sensor,155,,
ATAPL-68073-00002,,RS01SLBS-LJ01A-10-ADCPTE101,Sensor,18813,,
ATAPL-58324-00006,,RS01SLBS-LJ01A-09-HYDBBA102,Sensor,1291,,
ATAPL-58323-00002,,RS01SLBS-LJ01A-05-HPIESA101,Sensor,02,,
,,,,,,
ATAPL-65310-830-0010,RS01SLBS-LJ01A,,Mooring,SN0010,7/6/2015,
ATAPL-58320-00013,,RS01SLBS-LJ01A-12-DOSTAD101,Sensor,474,,
ATAPL-67627-00004,,RS01SLBS-LJ01A-12-CTDPFB101,Sensor,16-50119,,
ATAPL-69943-00006,,RS01SLBS-LJ01A-11-OPTAAC103,Sensor,204,,
ATAPL-68073-00004,,RS01SLBS-LJ01A-10-ADCPTE101,Sensor,23442,,
ATAPL-58324-00010,,RS01SLBS-LJ01A-09-HYDBBA102,Sensor,1363,,
ATAPL-58323-00003,,RS01SLBS-LJ01A-05-HPIESA101,Sensor,03,,
,,,,,,
ATAPL-65310-830-0010,RS01SLBS-LJ01A,,Mooring,SN0010,7/6/2015,
ATAPL-58320-00004,,RS01SLBS-LJ01A-12-DOSTAD101,Sensor,274,,
ATAPL-67627-00002,,RS01SLBS-LJ01A-12-CTDPFB101,Sensor,16P71179-7234,,
ATAPL-69943-00002,,RS01SLBS-LJ01A-11-OPTAAC103,Sensor,155,,
ATAPL-68073-00002,,RS01SLBS-LJ01A-10-ADCPTE101,Sensor,18813,,
ATAPL-58324-00006,,RS01SLBS-LJ01A-09-HYDBBA102,Sensor,1291,,
ATAPL-58323-00002,,RS01SLBS-LJ01A-05-HPIESA101,Sensor,02,,
