OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-65310-020-0004,RS01SUM1-LJ01B,,Mooring,SN0004,9/6/2014,
ATAPL-58693-00004,,RS01SUM1-LJ01B-05-HYDLFA104,Sensor,299465,,
ATAPL-58331-00011,,RS01SUM1-LJ01B-05-OBSBBA101,Sensor,T6J77,,
ATAPL-58331-00004,,RS01SUM1-LJ01B-06-OBSSPA103,Sensor,T6J70,,
ATAPL-58331-00003,,RS01SUM1-LJ01B-07-OBSSPA102,Sensor,T6J69,,
ATAPL-58331-00009,,RS01SUM1-LJ01B-08-OBSSPA101,Sensor,T6J75,,
ATAPL-69923-00001,,RS01SUM1-LJ01B-09-PRESTB102,Sensor,5471540-0031,,
ATAPL-67979-00001,,RS01SUM1-LJ01B-12-VEL3DB104,Sensor,10306,,
ATAPL-65291-020-0044,RS01SUM1-LV01B,,Mooring,SN0044,9/6/2014,
N00298,RS01SUM1-PN01B,,Mooring,,9/6/2014,
,,,,,,
ATAPL-65310-850-0012,RS01SUM1-LJ01B,,Mooring,SN0012,7/24/2016,
ATAPL-69923-00002,,RS01SUM1-LJ01B-09-PRESTB102,Sensor,5471540-0047,,
ATAPL-67679-00006,,RS01SUM1-LJ01B-12-VEL3DB104,Sensor,10349,,
