OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-65244-040-0026,RS03AXBS-MJ03A,,Mooring,SN0023,7/29/2014,
ATAPL-58693-00001,,RS03AXBS-MJ03A-05-HYDLFA301,Sensor,299463,,
ATAPL-58328-00001,,RS03AXBS-MJ03A-05-OBSBBA303,Sensor,T1076,,
ATAPL-67639-00003,,RS03AXBS-MJ03A-06-PRESTA301,Sensor,5471540-0029,,
ATAPL-67979-00005,,RS03AXBS-MJ03A-12-VEL3DB301,Sensor,10314,,
,,,,,,
ATAPL-65244-840-0035,RS03AXBS-MJ03A,,Mooring,SN0035,7/13/2016,
ATAPL-67639-00006,,RS03AXBS-MJ03A-06-PRESTA301,Sensor,5471540-0048,,
ATAPL-67679-00008,,RS03AXBS-MJ03A-12-VEL3DB301,Sensor,10351,,
,,,,,,
ATAPL-65310-050-0007,RS03AXBS-LJ03A,,Mooring,SN0007,8/5/2014,
ATAPL-58323-00001,,RS03AXBS-LJ03A-05-HPIESA301,Sensor,1,,
ATAPL-58324-00003,,RS03AXBS-LJ03A-09-HYDBBA302,Sensor,1271,,
ATAPL-68073-00003,,RS03AXBS-LJ03A-10-ADCPTE303,Sensor,19224,,
ATAPL-69943-00003,,RS03AXBS-LJ03A-11-OPTAAC303,Sensor,ACS-156,,
ATAPL-67627-00003,,RS03AXBS-LJ03A-12-CTDPFB301,Sensor,16-50031,,
ATAPL-58320-00003,,RS03AXBS-LJ03A-12-DOSTAD301,Sensor,273,,
,,,,,,
ATAPL-65310-840-0011,RS03AXBS-LJ03A,,Mooring,SN0011,7/13/2015,
ATAPL-58323-00004,,RS03AXBS-LJ03A-05-HPIESA301,Sensor,4,,
ATAPL-58324-00011,,RS03AXBS-LJ03A-09-HYDBBA302,Sensor,1389,,
ATAPL-68073-00005,,RS03AXBS-LJ03A-10-ADCPTE303,Sensor,23443,,
ATAPL-69943-00001,,RS03AXBS-LJ03A-11-OPTAAC303,Sensor,141,,
ATAPL-67627-00005,,RS03AXBS-LJ03A-12-CTDPFB301,Sensor,16-50128,,
ATAPL-58320-00014,,RS03AXBS-LJ03A-12-DOSTAD301,Sensor,475,,
,,,,,,
ATAPL-65310-050-0007,RS03AXBS-LJ03A,,Mooring,SN0007,7/12/2016,
ATAPL-58323-00001,,RS03AXBS-LJ03A-05-HPIESA301,Sensor,1,,
ATOSU-58324-00016,,RS03AXBS-LJ03A-09-HYDBBA302,Sensor,1412,,
ATAPL-68073-00003,,RS03AXBS-LJ03A-10-ADCPTE303,Sensor,19224,,
ATAPL-69943-00003,,RS03AXBS-LJ03A-11-OPTAAC303,Sensor,ACS-156,,
ATAPL-67627-00003,,RS03AXBS-LJ03A-12-CTDPFB301,Sensor,16P71179-50031,,
ATAPL-58320-00006,,RS03AXBS-LJ03A-12-DOSTAD301,Sensor,273,,
