OOIBARCODE,Manufacturer,Manufacturer's Serial No./Other Identifier,Tag Date,Organization,Tag
A00001,PROTONEX,630037-02,20090826,WHOI,113528
A00002,,,,,
A00003,SENSING SYST,3,20091009,WHOI,
A00004,MICROSOFT DYNAMICS,N/A,20091210,WHOI,113689
A00005,,,,,
A00006,M2 TECHNOLOGIES,A00006,20090724,WHOI,113692
A00007,M2 TECHNOLOGIES,A00007,20091109,WHOI,113693
A00008,,,,,
A00009,DELL,FJ5PLL1,20091222,WHOI,113741
A00010,DELL,HK6SLL1,20091222,WHOI,113742
A00011,TEKTRONIX,C00111,20100202,WHOI,113795
A00012,,,,,
A00013,,,,,
A00014,,,,,
A00015,TRILOGIC,SEE COMMENTS,20100308,WHOI,113861
A00016,HP,SCN9B62H016,20100323,WHOI,113863
A00017,M2 TECHNOLOGIES INC,N/A,20100407,WHOI,113894
A00018,SIO,N/A,20090629,WHOI,114041
A00019,ORE,34580,20110310,WHOI,114490
A00020,ORE,34579,20110310,WHOI,114491
A00021,ORE,34578,20110310,WHOI,114492
A00022,,,,,
A00023,SEA-BIRD ELECTRONICS,37IM64183-8523,20110527,WHOI,114539
A00024,ANSYS,N/A,20110323,WHOI,114584
A00025,MCLANE,ML12714-01,20110617,WHOI,114589
A00026,ORE,34817,20150604,WHOI,114610
A00027,ORE,34815,20110630,WHOI,114611
A00028,ORE,34816,20110630,WHOI,114612
A00029,ORE,34843,20110630,WHOI,114613
A00030,ORE,34844,20110630,WHOI,114614
A00031,NORTEK,P23686,20101112,WHOI,114660
A00032,OSU,N/A,20110630,WHOI,114661
A00033,ORE OFF SHORE,34775,20110620,WHOI,114662
A00034,,,,,
A00035,,,,,
A00036,,,,,
A00037,,,,,
A00038,,,,,
A00039,DELL,1PVYNNI,20101129,WHOI,
A00040,DELL,1PTXNN1,20101129,WHOI,
A00041,FABRICATED,1,20110310,WHOI,114708
A00042,HP,CN13C4H00M,20110425,WHOI,
A00043,WHOI,N/A,20110919,WHOI,114743
A00044,WHOI,N/A,20110919,WHOI,114744
A00045,TELEDYNE WEBB RESEARCH,247,20111007,WHOI,114762
A00046,FABRICATED,PN-11106-3,20110310,WHOI,114816
A00047,BK PRESION,2016126677101000,20120201,WHOI,114851
A00048,NORTEK,AQD 9952,20150604,WHOI,114872
A00049,NORTEK,AQD 9984,20150604,WHOI,114873
A00050,PRO-OCEANUS,31-124-50A,20120228,WHOI,114878
A00051,SEA-BIRD ELECTRONICS,26P64515-1329,20120405,WHOI,114940
A00052,SEA-BIRD ELECTRONICS,26P64515-1328,20120405,WHOI,114941
A00053,SPECTRACOM,1136,20111004,WHOI,115024
A00054,SEA-BIRD ELECTRONICS,16P64183-6841,20150604,WHOI,114540
A00055,TELEDYNE RDI,18222,20120822,WHOI,115068
A00056,TELEDYNE RDI,18225,20120822,WHOI,115069
A00057,TELEDYNE RDI,18493,20120826,WHOI,115070
A00058,TELEDYNE RDI,17122,20120822,WHOI,115071
A00059,NORTEK,8159,20120828,WHOI,115072
A00060,NORTEK,8181,20120828,WHOI,115073
A00061,NORTEK,9668,20120913,WHOI,115074
A00062,Sunburst Sensors,C0050,20120913,WHOI,115076
A00063,Sunburst Sensors,C0051,20120913,WHOI,115077
A00064,TELEDYNE RDI,18153,20120914,WHOI,115083
A00065,SATLANTIC,239,20120924,WHOI,115084
A00066,SATLANTIC,240,20120924,WHOI,115085
A00067,TELEDYNE RDI,18352,20120928,WHOI,115090
A00068,TELEDYNE RDI,18351,20120928,WHOI,115091
A00069,TELEDYNE RDI,18445,20121001,WHOI,115092
A00070,TELEDYNE RDI,18446,20120928,WHOI,115093
