,ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO,RCA,In Asset Tracking
2,A00835,A00835,Sensor,0,SENSOR CTD,SENSOR CTD,Sea-Bird Electronics,SBE 52-MP,138,,20140128.0,9966.0,,,False,False
3,A00838,A00838,Sensor,0,FLUOROMETER,FLUOROMETER,WET Labs,FLCDRTD (CDOM),3400,,20140128.0,6665.0,UW Claims they have asset,,False,False
4,A01061,A01061,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 1,,20140423.0,173968.0,,,False,False
5,A01062,A01062,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 2,,20140423.0,173968.0,,,False,False
6,A01073,A01073,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 3,,20140423.0,173968.0,,,False,False
7,A01085,A01085,Sensor,0,ANEMOMETER WINDMASTER PRO,ANEMOMETER WINDMASTER PRO,PP SYSTEMS,WINDMASTER PRO,TAS141004,,20140304.0,4565.0,,,False,False
8,A01086,A01086,Sensor,0,ANEMOMETER WINDMASTER PRO,ANEMOMETER WINDMASTER PRO,PP SYSTEMS,WINDMASTER PRO,TAS141005,,20150604.0,4565.0,,,False,False
9,A01088,A01088,Sensor,0,ANEMOMETER WINDMASTER PRO,ANEMOMETER WINDMASTER PRO,PP SYSTEMS,WINDMASTER PRO,TAS141009,,20140304.0,4108.5,,,False,False
10,A01330,A01330,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,P21893-1,,20150402.0,8900.0,,,False,False
11,A01331,A01331,Sensor,0,VELPT SERIES B (AQUADOPP 300M),VELPT SERIES B (AQUADOPP 300M),Nortek,Aquadopp,P28193-3,,20150402.0,9925.0,,,False,False
12,A01347,A01347,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,P28193-2,,20150527.0,8800.0,,,False,False
13,A01348,A01348,Sensor,0,VELPT SERIES B (AQUADOPP 300M),VELPT SERIES B (AQUADOPP 300M),Nortek,Aquadopp,P27135-1,,20140527.0,10135.0,SIO inventory claims AQD11669/A3L6884,,False,False
14,A01349,A01349,Sensor,0,VELPT SERIES B (AQUADOPP 300M),VELPT SERIES B (AQUADOPP 300M),Nortek,Aquadopp,P27135-2,,20140527.0,10135.0,SIO inventory claims AQD11964 / A3L6883,,False,False
15,A01350,A01350,Sensor,0,VELPT SERIES B (AQUADOPP 300M),VELPT SERIES B (AQUADOPP 300M),Nortek,Aquadopp,P27135-3,,20140527.0,10135.0,SIO inventory claims AQD11967 / A3L6863,,False,False
