,RefDes,Method,Stream,pdId,Parameter Name,Units,Data Product Identifier,Level,Gross Range Values
0,CP01CNSM-MFD37-03-CTDBPD000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
1,CP01CNSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
2,CP01CNSM-MFD37-03-CTDBPD000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
3,CP01CNSM-RID27-03-CTDBPC000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
4,CP01CNSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
5,CP01CNSM-RID27-03-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
6,CP03ISSM-MFD37-03-CTDBPD000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
7,CP03ISSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
8,CP03ISSM-MFD37-03-CTDBPD000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
9,CP03ISSM-RID27-03-CTDBPC000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
10,CP03ISSM-RID27-03-CTDBPC000,bad_telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
11,CP03ISSM-RID27-03-CTDBPC000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
12,CP03ISSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
13,CP03ISSM-RID27-03-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
14,CP04OSSM-MFD37-03-CTDBPE000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
15,CP04OSSM-MFD37-03-CTDBPE000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
16,CP04OSSM-MFD37-03-CTDBPE000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
17,CP04OSSM-RID27-03-CTDBPC000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
18,CP04OSSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
19,CP04OSSM-RID27-03-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
