serial,uid
16-6914,ATAPL-66662-00001
16-7205,ATAPL-66662-00002
16-7232,ATAPL-66662-00003
16-7233,ATAPL-66662-00004
16-50030,ATAPL-66662-00005
16-50018,ATOSU-66662-00006
16-50019,ATOSU-66662-00007
16-50115,ATAPL-66662-00008
16-50118,ATAPL-66662-00009
16-50122,ATAPL-66662-00010
16-50123,ATAPL-66662-00011
16-50127,ATAPL-66662-00012
16-50112,ATOSU-66662-00013
16-50113,ATOSU-66662-00014
16-6943,ATAPL-67627-00001
16-7234,ATAPL-67627-00002
16-50031,ATAPL-67627-00003
16-50119,ATAPL-67627-00004
16-50128,ATAPL-67627-00005
16-50209,ATCWK-67627-00006
16-50210,ATCWK-67627-00007
52-0120,ATAPL-67977-00001
52-0137,ATAPL-67977-00002
52-0139,ATAPL-67977-00003
52-0144,ATAPL-67977-00004
52-0145,ATAPL-67977-00005
52-0146,ATAPL-67977-00006
52-0138,ATOSU-67977-00007
16-7230,ATOSU-69827-00001
16-50114,ATOSU-69827-00002
16-7248,ATOSU-69827-00003
16-7231,ATOSU-69828-00001
16-7249,ATOSU-69828-00002
16-50117,ATOSU-69828-00003
