serial,uid
ACS-134,ATAPL-58332-00001
ACS-166,ATAPL-58332-00002
ACS-186,ATAPL-58332-00004
ACS-244,ATAPL-58332-00005
ACS-251,ATAPL-58332-00006
ACS-128,ATOSU-58332-00003
ACS-223,ATOSU-58332-00007
ACS-221,ATOSU-58332-00008
ACS-169,ATOSU-58332-00009
ACS-141,ATAPL-69943-00001
ACS-155,ATAPL-69943-00002
ACS-156,ATAPL-69943-00003
ACS-158,ATAPL-69943-00004
ACS-157,ATAPL-69943-00005
ACS-204,ATAPL-69943-00006
ACS-247,ATAPL-69943-00007
ACS-248,ATAPL-69943-00008
ACS-250,ATAPL-69943-00009
ACS-191,ATOSU-69943-00010
ACS-140,ATOSU-69943-00011
ACS-243,ATAPL-69943-00012
