Prefix,Vessel Name,ICES Code,Operator,Call Sign,MMSI#,IMO#,Length (m),Max Speed (m/s),Max Draft (m),Designation,Active
HX,Alpha Helix,31HX,UAF,WSD7078,368625000,6600905,40.5,5.4,4.2,,(N)
AE,Atlantic Explorer,33H4,BIOS,WDC9417,303591000,8120014,52.1,5.7,3.4,,Y
AT,Atlantis,33AT,WHOI,KAQP,367241000,9105798,83.5,7.7,5,AGOR-25,Y
A,Atlantis II,31AN,WHOI,KADC,,5029752,64,6.2,5.2,,(N)
BH,Blue Heron,33B1,UMN,WCX7521,366947250,8511897,26.2,5.1,3.1,,Y
CH,Cape Hatteras,32KZ,Duke,WRZ8934,366929330,8023541,41.1,6.2,3,,(N)
CB,Clifford A. Barnes,33CB,UW,WRN5495,366918910,,19.8,5.1,2.5,,Y
C,Corwith Cramer,33CC,SEA,WTF3319,366724450,8617445,40.8,5.1,4,,Y
ELT,Eltanin,31ET,LDEO,,,,81.1,6.7,5.5,AGOR-8,(N)
EN,Endeavor,32EV,URI,WCE5063,303471000,7604300,56.4,7.2,5.7,,Y
FK,Falkor,CIFR,SOI,ZCYL5,319005600,7928677,82.9,10.2,4.8,,Y
WS,F.G. Walton Smith,33WA,Miami,WCZ6292,367020910,8964501,29.3,6.2,2,,Y
FL,FLIP,31FP,SIO,WI7115,338040561,,108.2,5.1,91.4,,Y
HLY,Healy,33HQ,USCG,NEPP,303902000,9083380,128,8.8,11,WAGB-20,Y
HRS,Hugh R. Sharp,33H5,UDel,WDC6908,367063060,9388443,44.5,6.2,2.7,,Y
KOK,Ka`imikai-O-Kanaloa,33KI,Hawaii,WBN4310,303165000,7806233,68,5.7,4.2,,Y
KM,Kilo Moana,33KB,Hawaii,WDA7827,369565000,9229037,56.7,7.7,7.6,AGOR-26,Y
KN,Knorr,316N,WHOI,KCEJ,367246000,7738618,85,7.2,6,AGOR-15,(N)
LMG,Laurence M. Gould,33LG,USAP,WCX7445,368138000,9137337,70.1,5.8,5.7,,Y
MGL,Marcus G. Langseth,33H3,LDEO,WDC6698,367059880,9010137,71.6,6.7,6.7,,Y
EW,Maurice Ewing,3230,LDEO,WLDZ,366167000,8203153,70.1,6.7,5.3,,(N)
MV,Melville,318M,SIO,WECB,366784000,7738591,85,7.2,5,AGOR-14,(N)
MW,Moana Wave,32MW,Hawaii,WUS9293,367627000,7319008,50.3,6.7,3.5,AGOR-22,(N)
NBP,Nathaniel B. Palmer,3206,USAP,WBP3210,366610000,9007257,93.9,8.5,7.2,,Y
AR,Neil Armstrong,33VB,WHOI,WARL,338767000,9688946,72.5,7,4.6,AGOR-27,Y
NH,New Horizon,32NM,SIO,WKWB,303273000,7723821,51.8,6.3,3.5,,(N)
OC,Oceanus,32OC,OSU,WXAQ,367977000,7603617,53.9,6.2,6,,Y
EX,Okeanos Explorer,334A,OMAO,WTDH,369888000,8835114,68.3,6.2,5.2,,Y
PE,Pelican,32PE,LUMCON,WSK3051,367652000,8517009,35.4,4.7,2.9,,Y
PS,Point Sur,32P0,LUMCON,WSC2276,366974890,8023539,41.1,5.7,2.7,,Y
PSEA,Polar Sea,32L9,USCG,NRUO,367878000,7391252,121.6,9,10,WAGB-11,(N)
PSTAR,Polar Star,32PZ,USCG,NBTM,303991000,7367471,121.6,9,10,WAGB-10,(N)
S,Robert C. Seamans,33GY,SEA,WDA4486,369503000,9245483,40.8,5.1,4,,Y
RC,Robert D. Conrad,31RD,LDEO,WHBA,,7742140,63.7,13.8,4.9,AGOR-3,(N)
SP,Robert Gordon Sproul,32QU,SIO,WSQ2674,303272000,8128747,38.1,5.4,2.5,,Y
RR,Roger Revelle,33RR,SIO,KAOU,367800100,9075228,84.4,7.7,5,AGOR-24,Y
RB,Ronald H. Brown,33RO,OMAO,WTEC,368996000,9105786,83.5,7.7,5.2,,Y
SR,Sally Ride,,SIO,WSAF,369140000,9695171,72.5,7,4.6,AGOR-28,Y
SAV,Savannah,33H6,SkIO,WDA5407,366819770,8992651,28,5.1,2.4,,Y
SKQ,Sikuliaq,33BI,UAF,WDG7520,338417000,9578945,80,7.3,5.7,,Y
TN,Thomas G. Thompson,3250,UW,KTDQ,366345000,8814419,83.5,7.5,5.9,AGOR-23,Y
WT,Thomas Washington,31WT,SIO,KGWU,,,63.7,13.8,4.9,AGOR-10,(N)
V,Vema,31VE,LDEO,J8RU,,7738383,,,,,(N)
W,Wecoma,32WC,OSU,WSD7079,303014000,7604439,56.4,7.2,6,,(N)
